43,83.7,4.8,0.5,10.1,18,1.5,31,73,193,41,0.47,0.06,0.261,1,19.8,0.128,0.09,1.2,0.066,0.029,58,0,14,0,0.142,0.02,0.303
44,91.41,3.83,0.52,3.12,118,1.27,27,82,343,56,0.54,0.075,0.38,1.3,37,0.169,0.14,2.015,0.448,0.22,71,0,227,0,0.089,0.046,0.232
45,93.54,1.14,0.72,3.81,100,0.56,18,41,261,7,0.39,0.061,0.264,1.3,28.2,0.095,0.146,0.437,0.159,0.07,99,0,82,0,0.11,0.05,0.33
46,88.9,2.55,0.5,7.1,36,1.2,20,56,317,21,0.33,0.083,0.227,1.5,62,0.107,0.08,0.607,0.252,0.178,60,0,39,0,0.102,0.038,0.255
47,75.64,2.09,0.14,21.15,49,0.77,39,93,360,4,0.38,0.089,0.27,0.9,2.6,0.039,0.058,0.32,0.353,0.279,20,0,0,0,0.023,0.035,0.055
48,96.7,0.23,0.02,2.16,59,0.1,8,7,354,4,0.09,0.059,0.156,0.9,18.9,0.01,0.01,0.1,0.018,0.052,4,0,1,0,0,0,0
49,95.55,1.56,0.16,1.78,93,1.04,11,29,371,34,0.17,0.019,0.144,0.4,26,0.032,0.063,0.428,0.079,0.166,41,0,212,0,0.021,0.012,0.077
50,90.84,1.51,0.09,6.94,42,0.66,17,33,262,28,0.25,0.054,0.223,2.3,34.4,0.071,0.06,0.382,0.154,0.225,24,0,2,0,0.011,0.007,0.043
51,92,1.8,0.09,5.41,30,0.38,24,33,184,24,0.23,0.052,0.152,0.7,17,0.051,0.02,0.024,0.159,0.152,46,0,44,0,0.012,0.007,0.043
52,93.46,0.76,0.11,5.33,72,0.73,43,23,392,176,0.18,0,0.133,1,1.7,0.018,0.031,0.294,0.097,0.042,22,0,6,0,0.012,0.02,0.044
53,93,1.84,0.45,4.11,16,0.32,9,32,142,15,0.17,0.018,0.132,0.6,44.3,0.042,0.052,0.41,0.508,0.173,44,0,1,0,0.07,0.032,0.217
54,89.47,3.04,0.31,6.28,32,0.72,19,57,278,23,0.63,0.04,0.242,0.8,72.6,0.07,0.1,0.681,0.681,0.206,41,0,7,0,0.043,0.03,0.137
55,92.3,0.96,0.19,5.9,26,0.43,12,66,173,61,0.2,0.043,0.096,0.4,3.6,0.027,0.037,0.427,0.203,0.101,3,0,0,0,0,0,0
56,94.11,0.83,0.16,4,42,0.42,12,25,284,91,0.14,0.036,0.106,1,6.1,0.023,0.07,0.372,0.317,0.086,33,0,26,0,0.04,0.03,0.075
57,93.43,0.62,0.48,5.09,13,0.22,12,29,173,1,0.31,0.11,0.169,0.3,8,0.026,0.04,0.42,0.408,0.118,18,0,0,0,0,0,0
58,60.21,8.86,2.59,27.42,49,2.89,48,168,291,7,1.53,0.352,1.03,3.7,1.3,0.116,0.063,0.526,0.286,0.139,172,0,1,0,0.269,0.583,1.156
59,90.18,2.71,0.72,5.65,141,1.13,21,32,117,15,0.23,0.051,0.51,0.5,18.2,0.04,0.106,0.575,0.218,0.128,16,0,380,0,0.047,0.026,0.173
60,72.84,3.34,1.41,21.71,2,0.55,31,92,252,3,0.54,0.057,0.214,0.8,6.2,0.09,0.053,1.666,0.749,0.127,20,0,0,0,0.197,0.374,0.603
61,73.41,3.41,1.5,20.98,3,0.45,26,77,218,1,0.62,0.049,0.167,0.2,5.5,0.093,0.057,1.683,0.792,0.139,23,0,13,0,0.197,0.374,0.603
62,75.48,3.17,0.38,20.32,128,1.12,52,51,418,4,1.03,0.133,0.572,2.5,2.2,0.101,0.148,1.403,0.154,0.065,127,0,40,0,0.096,0.034,0.161
63,69.7,8.13,0.71,20.32,26,3.05,96,142,375,19,1.87,0.271,0.473,2.5,0.4,0.162,0.046,0.714,0.386,0.092,142,0,1,0,0.185,0.059,0.303
